," - ′23.8.31일 0시 기준, 질병관리청 질병보건통합관리시스템에 신고된 코로나19 확진환자",,,
,,,,
서울시기준일,서울시 일자별 확진자,서울시 누적 확진자,서울시 일자별 사망자,서울시 누적 사망자
2020-01-19,0,0,0,0
2020-01-20,0,0,0,0
2020-01-21,0,0,0,0
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,1,1,0,0
2020-01-25,0,1,0,0
2020-01-26,0,1,0,0
2020-01-27,0,1,0,0
2020-01-28,0,1,0,0
2020-01-29,0,1,0,0
2020-01-30,3,4,0,0
2020-01-31,3,7,0,0
2020-02-01,0,7,0,0
2020-02-02,1,8,0,0
2020-02-03,0,8,0,0
2020-02-04,0,8,0,0
2020-02-05,2,10,0,0
2020-02-06,2,12,0,0
2020-02-07,0,12,0,0
2020-02-08,0,12,0,0
2020-02-09,0,12,0,0
2020-02-10,0,12,0,0
2020-02-11,0,12,0,0
2020-02-12,0,12,0,0
2020-02-13,0,12,0,0
2020-02-14,0,12,0,0
2020-02-15,0,12,0,0
2020-02-16,2,14,0,0
2020-02-17,0,14,0,0
2020-02-18,0,14,0,0
2020-02-19,2,16,0,0
2020-02-20,0,16,0,0
2020-02-21,5,21,0,0
2020-02-22,2,23,0,0
2020-02-23,3,26,0,0
2020-02-24,4,30,0,0
2020-02-25,7,37,0,0
2020-02-26,8,45,0,0
2020-02-27,10,55,0,0
2020-02-28,7,62,0,0
2020-02-29,12,74,0,0
2020-03-01,8,82,0,0
2020-03-02,9,91,0,0
2020-03-03,7,98,0,0
2020-03-04,0,98,0,0
2020-03-05,5,103,0,0
2020-03-06,2,105,0,0
2020-03-07,3,108,0,0
2020-03-08,12,120,0,0
2020-03-09,10,130,0,0
2020-03-10,11,141,0,0
2020-03-11,53,194,0,0
2020-03-12,19,213,0,0
2020-03-13,12,225,0,0
2020-03-14,13,238,0,0
2020-03-15,9,247,0,0
2020-03-16,6,253,0,0
2020-03-17,12,265,0,0
2020-03-18,5,270,0,0
2020-03-19,12,282,0,0
2020-03-20,17,299,0,0
2020-03-21,15,314,0,0
2020-03-22,10,324,0,0
2020-03-23,6,330,0,0
2020-03-24,4,334,0,0
2020-03-25,13,347,0,0
2020-03-26,13,360,0,0
2020-03-27,12,372,0,0
2020-03-28,18,390,0,0
2020-03-29,20,410,0,0
2020-03-30,16,426,0,0
2020-03-31,24,450,0,0
2020-04-01,24,474,0,0
2020-04-02,14,488,0,0
2020-04-03,18,506,0,0
2020-04-04,22,528,0,0
2020-04-05,24,552,0,0
2020-04-06,11,563,0,0
2020-04-07,4,567,0,0
2020-04-08,11,578,1,1
2020-04-09,12,590,0,1
2020-04-10,5,595,0,1
2020-04-11,4,599,0,1
2020-04-12,3,602,0,1
2020-04-13,8,610,0,1
2020-04-14,2,612,0,1
2020-04-15,5,617,0,1
2020-04-16,2,619,0,1
2020-04-17,2,621,0,1
2020-04-18,1,622,0,1
2020-04-19,2,624,0,1
2020-04-20,0,624,0,1
2020-04-21,2,626,0,1
2020-04-22,2,628,0,1
2020-04-23,0,628,0,1
2020-04-24,0,628,0,1
2020-04-25,1,629,0,1
2020-04-26,0,629,0,1
2020-04-27,0,629,0,1
2020-04-28,4,633,0,1
2020-04-29,0,633,0,1
2020-04-30,0,633,0,1
2020-05-01,1,634,0,1
2020-05-02,1,635,0,1
2020-05-03,2,637,0,1
2020-05-04,0,637,0,1
2020-05-05,0,637,0,1
2020-05-06,0,637,0,1
2020-05-07,0,637,0,1
2020-05-08,0,637,0,1
2020-05-09,12,649,0,1
2020-05-10,14,663,0,1
2020-05-11,21,684,0,1
2020-05-12,12,696,0,1
2020-05-13,11,707,1,2
2020-05-14,4,711,1,3
2020-05-15,14,725,0,3
2020-05-16,5,730,0,3
2020-05-17,5,735,0,3
2020-05-18,1,736,0,3
2020-05-19,6,742,0,3
2020-05-20,10,752,0,3
2020-05-21,4,756,0,3
2020-05-22,2,758,0,3
2020-05-23,4,762,0,3
2020-05-24,6,768,0,3
2020-05-25,6,774,0,3
2020-05-26,9,783,0,3
2020-05-27,19,802,0,3
2020-05-28,24,826,0,3
2020-05-29,20,846,0,3
2020-05-30,9,855,0,3
2020-05-31,6,861,0,3
2020-06-01,1,862,0,3
2020-06-02,14,876,0,3
2020-06-03,19,895,0,3
2020-06-04,14,909,0,3
2020-06-05,15,924,0,3
2020-06-06,23,947,0,3
2020-06-07,27,974,0,3
2020-06-08,21,995,0,3
