행안부코드,SGIS코드,행정동명
11110515,11010530,사직동
11110530,11010730,혜화동
11110540,11010580,교남동
11110560,11010720,청운효자동
11110580,11010530,사직동
11110615,11010730,혜화동
11110630,11010550,부암동
11110640,11010560,평창동
11110650,11010560,평창동
11110670,11010720,청운효자동
11110680,11010560,평창동
11110690,11010560,평창동
11110700,11010720,청운효자동
11140520,11010720,청운효자동
11140540,11010600,가회동
11140550,11010530,사직동
11140570,11010560,평창동
11140580,11010560,평창동
11140590,11010550,부암동
11140625,11010560,평창동
11140650,11010530,사직동
11140680,11010530,사직동
11170510,11010560,평창동
11170520,11010560,평창동
11170530,11010550,부암동
11170555,11130650,홍제2동
11170590,11010540,삼청동
11170625,11010640,이화동
11170640,11130520,천연동
11170650,11010560,평창동
11170660,11010540,삼청동
11170685,11010540,삼청동
11170690,11010560,평창동
11170700,11010570,무악동
11200535,11010560,평창동
11200540,11010720,청운효자동
11200550,11010580,교남동
11200560,11130650,홍제2동
11200615,11010550,부암동
11200660,11010640,이화동
11200690,11080640,정릉3동
11200720,11010560,평창동
11215710,11010720,청운효자동
11215730,11010560,평창동
11215740,11010530,사직동
11215750,11010720,청운효자동
11215760,11010610,종로1·2·3·4가동
11215770,11010530,사직동
11215780,11010710,숭인2동
11215810,11010560,평창동
11215820,11010720,청운효자동
11215830,11010530,사직동
11215850,11010560,평창동
11215860,11010580,교남동
11215870,11010550,부암동
11230536,11010610,종로1·2·3·4가동
11230545,11010560,평창동
11230560,11010720,청운효자동
11230570,11080640,정릉3동
11230610,11010550,부암동
11230710,11010610,종로1·2·3·4가동
11230720,11010540,삼청동
11230730,11010560,평창동
11230750,11010720,청운효자동
11260540,11010530,사직동
11260565,11010570,무악동
11260570,11010560,평창동
11260575,11010530,사직동
11260590,11010530,사직동
11260620,11010560,평창동
11260655,11010560,평창동
11260680,11010720,청운효자동
11260690,11010540,삼청동
11290525,11010560,평창동
11290555,11010730,혜화동
11290575,11010530,사직동
11290590,11010560,평창동
11290610,11010530,사직동
11290620,11010530,사직동
11290630,11010560,평창동
11290640,11010560,평창동
11290650,11080630,정릉2동
11290660,11010550,부암동
11290705,11010630,종로5·6가동
11290725,11010560,평창동
11290760,11010530,사직동
11290770,11010560,평창동
11290780,11010640,이화동
11290810,11010530,사직동
11305545,11010540,삼청동
11305606,11010560,평창동
11305610,11010530,사직동
11305645,11010540,삼청동
11305660,11020520,소공동
11320511,11010550,부암동
11320512,11010610,종로1·2·3·4가동
11320513,11010540,삼청동
11320514,11010560,평창동
11320521,11080640,정릉3동
11320660,11080640,정릉3동
11320670,11130640,홍제3동
11320680,11010720,청운효자동
11320700,11010560,평창동
11320710,11010720,청운효자동
11350560,11010560,평창동
11350580,11010560,평창동
