작성자,리뷰내용,방문일,방문횟수,인증
MasterMason,코르타도 처음 보는 거라 마셔보는데 귀엽고 맛도 좋네요.,2026년 3월 8일 일요일,12번째 방문,
스타2별이여,언제나 변함없는 커피맛~^^♡,2026년 1월 29일 목요일,1번째 방문,
왕맨듕,"스타벅스 송파 개롱역점은 조용한 주택가에 자리해 여유로운 분위기의 카페예요. 주문한 망고 바나나 블렌디드는 달콤한 망고와 부드러운 바나나가 잘 어우러져 상큼하면서도 부드러운 맛이 인상적이었어요. 함께 마신 카페라떼는 우유 밸런스가 안정적이라 기본에 충실한 맛이었고요. 좌석 간 간격이 여유로워 혼자 노트북 작업하기에도 좋았습니다. 커피 맛도 일정하고 직원분도 친절해서 재방문 의사 충분해요.

#스타벅스송파개롱역점 #망고바나나블렌디드 #카페라떼 #송파카페 #개롱역카페 #스타벅스리뷰 #카페탐방 #커피일상 #스타벅스추천 #카페스타그램",2025년 10월 18일 토요일,36번째 방문,
붉은단풍,스벅 부드러운생크림 맛있어요.,2026년 1월 28일 수요일,14번째 방문,
왕맨듕,"스타벅스 송파개롱역점을 방문했습니다. 직접 가보고, 여러 리뷰를 참고한 결과 이 매장은 공간, 접근성, 메뉴, 분위기 모두에서 만족도가 높다는 공통점이 있더군요.

먼저 매장 공간이 넓고 깔끔합니다. 좌석 간 간격도 넉넉해서 오래 앉아 있어도 불편함이 없고, 청결 관리가 잘 되어 있어 쾌적하게 이용할 수 있습니다. 또한, 노트북 작업이나 공부가 가능한 좌석과 콘센트 환경이 잘 갖춰져 있어 개인 작업용으로도 적합했습니다.

위치와 접근성 역시 장점입니다. 개롱역 바로 근처에 있어 이동이 편리하고, 주변 버스정류장과도 가까워 다양한 교통편을 이용하기 좋습니다.",2025년 11월 1일 토요일,37번째 방문,
tlaqk,잘 마시고 갑니다~,2026년 3월 7일 토요일,9번째 방문,
소아리51,"26년 3월 20일 오후 3시쯤에 근무하시던 매장 청소와 정리하는 여자 직원분하고, 주문받는 여자 직원분,
그 두분 참 불친절 하시네요.",2026년 3월 20일 금요일,1번째 방문,
fatman,핸들이고장난 고객입니다. 커피 만들어 주신분 정말 감사드립니다. %! 맛있는 커피에!노래가사까지 담아주시고 센스최곱니다! 친구들과 함께 기분 좋은 하루 보냈습니다. 정말 감사드립니다. 새해 복 많이 받으세요!!,2026년 1월 18일 일요일,1번째 방문,
mu****,"친절한것 같은데 안친절한 묘한 태도….
이걸 몇 번 느끼다가 이제야 리뷰를 써봅니다.
분명 친절한 단어들인데 전혀 진철은 없고 굉장히 불편하게 다가옵니다. 공격적이에요. 어차피 이곳은 사람이 많은 곳이긴한데 그래도 리뷰는 남겨븁니다",2026년 2월 2일 월요일,1번째 방문,
왕맨듕,"스타벅스 송파개롱역점은 개롱역 이용객에게 매우 편리하며, 2층이 넓어 공부나 업무를 보기 좋은 장점으로 인해 높은 만족도를 보이는 매장으로 분석됩니다.

Gemini

2층???",2025년 11월 22일 토요일,38번째 방문,
Pi67,오늘 오전에 방문했는데 주문 받으시는 분 묘하게 불친절하세요 여러번왔지만 최근에 두번 느끼고 리뷰씁니다,2026년 2월 19일 목요일,1번째 방문,
째순87,평일 저녁 이라 그련지 자리가 많네요.,2025년 12월 10일 수요일,7번째 방문,
포도ㄹ,,2026년 2월 7일 토요일,63번째 방문,
dan****,,2026년 2월 7일 토요일,3번째 방문,
Choi Lu Tan,,2026년 2월 5일 목요일,2번째 방문,
포도ㄹ,좋아요,2026년 1월 29일 목요일,61번째 방문,
MasterMason,평균 이상이죠,2025년 12월 26일 금요일,11번째 방문,
써나맘,굿 ~~~좋아요 ~~,2026년 3월 21일 토요일,6번째 방문,
MasterMason,넓고 친절하고 쾌적하고 맛있어요,2025년 10월 3일 금요일,4번째 방문,
왕맨듕,"여유로운 아침, 깔끔한 공간에서 아이스 카페라떼와 블루베리 치즈케이크의 완벽한 조합으로 하루를 시작했어요. 부드러운 커피와 달콤한 케이크가 어우러져 더욱 맛있네요. 만족스러운 맛과 분위기, 완벽한 아침입니다.
-Gemini-",2025년 8월 2일 토요일,30번째 방문,
왕맨듕,"블루베리마블치즈케이크
가나슈 9 레이어 케이크
스파클링 애플 주스
카페라떼",2025년 10월 4일 토요일,34번째 방문,
MasterMason,스타벅스 매장 사진으로 이미 평가 완료,2025년 10월 21일 화요일,8번째 방문,
MasterMason,이곳은 도심 속 낙원,2025년 11월 3일 월요일,9번째 방문,
MasterMason,아곳은 커피 맛집 분위기 맛집,2025년 10월 6일 월요일,5번째 방문,
예쁜서우공주,좋아요,2025년 12월 5일 금요일,4번째 방문,
공부는 내 인생에 대한 예의다,"레이디핑거티라미수 맛있네요.
베이글은 에어프라이어에 구워 먹었어요.",2026년 1월 2일 금요일,1번째 방문,
와이트,역시! 아이스 커피~•!,2025년 10월 30일 목요일,15번째 방문,
Julie Park,언제나 친절하고 깨끗해요,2025년 10월 11일 토요일,1번째 방문,
포도ㄹ,자주가요,2025년 12월 16일 화요일,60번째 방문,
MasterMason,식당 잘 못 가서 역겨웠는데 스타벅스 덕분에 정화중,2025년 10월 19일 일요일,7번째 방문,
MasterMason,우리 동네 아름다운 매장,2025년 10월 12일 일요일,6번째 방문,
붉은단풍,텀블러가 선물하기에 좋네요.음료권도 넣어주네요,2025년 9월 14일 일요일,12번째 방문,
dhmarine44,커피가 맛있네요,2025년 11월 28일 금요일,1번째 방문,
lgd****,,2025년 12월 12일 금요일,1번째 방문,
와이트,오늘의 커피 맛있어요:),2025년 10월 6일 월요일,14번째 방문,
러블리288,디저트랑 샌드위치 그리거 커피 구매했어요!,2025년 9월 16일 화요일,9번째 방문,
MasterMason,창가뷰 좋다,2025년 11월 28일 금요일,10번째 방문,
붉은단풍,바닐라라떼 맛있어요,2025년 10월 25일 토요일,13번째 방문,
왕맨듕,"애플주스
에그클럽
9레이어
카페라떼",2025년 9월 6일 토요일,33번째 방문,
러블리288,샌드위치 구매함용,2025년 9월 25일 목요일,10번째 방문,
포도ㄹ,맛있어요,2025년 11월 12일 수요일,59번째 방문,
ferre91,"매장 일회용 안되서 남은커피 일회용에 담아 달라고 하면 언제나 불친절하네요

슬리브에 그림 그려준 직원분 감사합니다
메시지 주신것 처럼 웃고 시작하세요!!",2025년 8월 14일 목요일,4번째 방문,
왕맨듕,"카페라떼G

아침일찍 열어 좋음",2025년 8월 9일 토요일,31번째 방문,
MasterMason,두 말 하면 잔소리 여기는 그냥 최고,2025년 9월 2일 화요일,1번째 방문,
왕맨듕,"가나슈9레이어케이크
아이스아메리카노
에그클럽샌드위치
애플주스스파클링",2025년 8월 1일 금요일,29번째 방문,
포도ㄹ,친절해요,2025년 11월 4일 화요일,58번째 방문,
치유하라,굿,2025년 11월 20일 목요일,2번째 방문,
적당씨,주말 오전에 일찍 가면 좋아요 :-),2025년 9월 28일 일요일,1번째 방문,
sky****,깔끔하고 좋아요,2026년 2월 14일 토요일,2번째 방문,
러블리288,처음 먹어봐용,2025년 9월 2일 화요일,8번째 방문,
0103kej,좋아요,2025년 12월 27일 토요일,4번째 방문,
왕맨듕,바닐라라떼 G,2025년 10월 11일 토요일,35번째 방문,
keili,"씨솔트콜드브루랑 자몽망고코코 인데 둘다 괜춘하네요.
씨솔틐콜드브루는 씨솔트 맛이 나는건 잘 모르겠고 걍 크림이랑 잘 어울리는 무겁지 않은 고소한 스탈 라떼였어요. 자몽망고코코는 혹시나 느끼할까 걱정스러웠는데 자몽망고코코의 배합이 적절해서 묵직하지않고 은근 가벼운 단맛이 마시기 좋았어요. 항상 신메뉴들 먼가 좀 과해서 별로였는데 이건 신메뉴 치고 괜찮게 나온듯.",2025년 5월 24일 토요일,1번째 방문,
러블리288,샌드위치 구매했어요,2025년 8월 21일 목요일,6번째 방문,
MasterMason,여기 매장 진짜 대박,2025년 9월 21일 일요일,3번째 방문,
왕맨듕,아이스 아메리카노 G,2025년 8월 16일 토요일,32번째 방문,
왕맨듕,"아이스 아메리카노
애플쥬스 스파클링
가나슈 9 레이어 케이크",2025년 7월 12일 토요일,28번째 방문,
러블리288,빠르게 제조되어서 편해요,2025년 7월 22일 화요일,3번째 방문,
roh****,커피가 맛있어요.,2025년 8월 28일 목요일,1번째 방문,
Normal people,간단하게 한끼 식사해결,2025년 7월 29일 화요일,17번째 방문,
